runinfo	epfile	date	sessionTime	run	trial	xdat	lat	fstCorrect	ErrCorr	AS	Count	Desc
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	1	164	473	TRUE	FALSE	ASNue	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	2	181	493	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	3	166	437	TRUE	FALSE	ASNue	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	4	186	457	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	5	184	NA	FALSE	FALSE	ASRew	-1	average fixpos(67.637500) is off from baseline(130.500000)!
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	6	162	525	TRUE	FALSE	ASNue	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	7	186	449	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	8	166	385	TRUE	FALSE	ASNue	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	9	161	449	FALSE	TRUE	ASNue	2	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	10	185	385	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	11	181	557	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	12	185	433	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	13	163	409	TRUE	FALSE	ASNue	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	14	182	469	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	15	161	493	TRUE	FALSE	ASNue	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	16	164	333	TRUE	FALSE	ASNue	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	17	163	465	TRUE	FALSE	ASNue	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	18	184	NA	FALSE	FALSE	ASRew	-1	moving (4.074 px/60Hz) before target onset
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	19	166	121	FALSE	TRUE	ASNue	2	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	20	182	NA	FALSE	FALSE	ASRew	-1	blink before target onset
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	21	165	NA	FALSE	FALSE	ASNue	-1	blink before target onset
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	22	161	185	FALSE	TRUE	ASNue	2	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	23	165	NA	FALSE	FALSE	ASNue	-1	3 samples > 12 px (10.00 max) from 166.29 (base)
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	24	181	NA	FALSE	FALSE	ASRew	-1	moving (6.392 px/60Hz) before target onset
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	25	186	301	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	26	183	105	TRUE	FALSE	ASRew	1	
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	27	183	NA	FALSE	FALSE	ASRew	-1	blink ends before any saccades
002_y2_run1	A002_y2_Eprime_run1	02-27-2014	13:18:51	1	28	162	NA	FALSE	FALSE	ASNue	-1	4 samples > 51 px (10.00 max) from 130.57 (base)
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	1	165	413	TRUE	FALSE	ASNue	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	2	181	405	TRUE	FALSE	ASRew	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	3	183	521	TRUE	FALSE	ASRew	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	4	166	561	TRUE	FALSE	ASNue	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	5	163	NA	FALSE	FALSE	ASNue	-1	no saccades within sac.time(1.450)
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	6	161	453	TRUE	FALSE	ASNue	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	7	162	NA	FALSE	FALSE	ASNue	-1	no saccades (getSacs)
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	8	185	389	TRUE	FALSE	ASRew	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	9	184	497	TRUE	FALSE	ASRew	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	10	161	569	TRUE	FALSE	ASNue	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	11	186	NA	FALSE	FALSE	ASRew	-1	moving (5.673 px/60Hz) before target onset
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	12	162	NA	FALSE	FALSE	ASNue	-1	moving (14.808 px/60Hz) before target onset
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	13	164	413	TRUE	FALSE	ASNue	1	
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	14	165	NA	FALSE	FALSE	ASNue	-1	4 samples > 89 px (10.00 max) from 136.31 (base)
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	15	186	NA	FALSE	FALSE	ASRew	-1	moving (12.458 px/60Hz) before target onset
002_y2_run2	A002_y2_Eprime_run2	02-27-2014	13:38:05	2	16	181	NA	FALSE	FALSE	ASRew	-1	4 samples > 16 px (10.00 max) from 165.50 (base)
